COMID,frac_1,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19,majority
71023889,0.0,0.0,0.0,0.0,0.0,0.0,0.9397216524588768,0.0,0.06027834754112317,0.0,0.0,15
71023895,0.0,0.0,0.06251784531594419,0.16864828851842767,0.0,0.0710920337513217,0.6977418324143064,0.0,0.0,0.0,0.0,15
71023936,0.13511912641623508,0.0,0.12090840198944798,0.17522839319521472,0.0,0.113353338350712,0.4553907400483902,0.0,0.0,0.0,0.0,15
71023982,0.06429318387968355,0.0,0.0,0.13499994355657338,0.0,0.060874005823763,0.73983286673998,0.0,0.0,0.0,0.0,15
71023994,0.0,0.0,0.0,0.052841245402805756,0.0,0.0,0.592151547676842,0.0,0.15532329112287882,0.19968391579747347,0.0,15
71024080,0.11455866811802279,0.0,0.0,0.25327924031070753,0.0,0.0,0.6321620915712697,0.0,0.0,0.0,0.0,15
71024082,0.0,0.0,0.0,0.09881714242515287,0.0,0.0,0.8319720431673064,0.0,0.06921081440754069,0.0,0.0,15
71024128,0.0,0.0,0.0,0.17753920923169994,0.0,0.0,0.7572135120250947,0.0,0.06524727874320542,0.0,0.0,15
71024198,0.0,0.0,0.0,0.05215736580456388,0.0,0.0,0.8873403481765981,0.0,0.06050228601883793,0.0,0.0,15
71024229,0.0,0.0,0.0,0.0,0.0,0.0,0.9315138046195723,0.0,0.06848619538042772,0.0,0.0,15
71024292,0.0,0.0,0.0,0.10037053437070927,0.0,0.0,0.8398324709542665,0.0,0.059796994675024154,0.0,0.0,15
71024386,0.0,0.0,0.0,0.0,0.0,0.0,0.9454045711809911,0.0,0.05459542881900899,0.0,0.0,15
71024448,0.06729377780653431,0.0,0.09538421228370735,0.4136105957847607,0.0,0.0,0.4237114141249975,0.0,0.0,0.0,0.0,15
71024474,0.15384946386296047,0.0,0.14519644647410296,0.4002440511322918,0.0,0.08964046911782875,0.21106956941281602,0.0,0.0,0.0,0.0,8
71024483,0.06749543472888,0.0,0.0,0.24589227898446966,0.061952810855559176,0.06990407155812411,0.5547554038729671,0.0,0.0,0.0,0.0,15
71024488,0.11769450884201955,0.0,0.0,0.23982698094749033,0.0,0.08913172466834092,0.5533467855421492,0.0,0.0,0.0,0.0,15
71024578,0.0,0.0,0.0,0.0,0.0,0.0,0.9427757640547039,0.0,0.05722423594529613,0.0,0.0,15
71024598,0.0,0.0,0.0,0.12079342551123763,0.0,0.0,0.8792065744887624,0.0,0.0,0.0,0.0,15
71024619,0.09562618938389512,0.0,0.0,0.08942958336661586,0.0,0.0,0.7504552038797018,0.0,0.06448902336978725,0.0,0.0,15
71024720,0.0,0.0,0.0,0.1521540450553471,0.0,0.05650002861944529,0.7913459263252075,0.0,0.0,0.0,0.0,15
71024795,0.06188715315846287,0.0,0.0,0.1761324412020463,0.0,0.09392612162423836,0.6680542840152525,0.0,0.0,0.0,0.0,15
71024843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15
71024862,0.0,0.0,0.0,0.190278919542201,0.0,0.0,0.809721080457799,0.0,0.0,0.0,0.0,15
71024996,0.0,0.0,0.0,0.07040905326391513,0.0,0.0,0.9295909467360849,0.0,0.0,0.0,0.0,15
71025043,0.0,0.0,0.0,0.054825328548695686,0.0,0.0,0.8782443780132105,0.0,0.06693029343809377,0.0,0.0,15
71025044,0.0,0.0,0.0,0.23840749902585454,0.0,0.0,0.7615925009741454,0.0,0.0,0.0,0.0,15
71025052,0.09289881270812621,0.0,0.0,0.16015627357548506,0.0,0.0863039471919905,0.6606409665243982,0.0,0.0,0.0,0.0,15
71025086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15
71025125,0.1012933305327758,0.0,0.0,0.17988070360088998,0.0,0.1476506718794036,0.5138854357130053,0.0,0.0,0.05728985827392535,0.0,15
71025142,0.0,0.0,0.0,0.13375442494619283,0.0,0.0,0.8662455750538072,0.0,0.0,0.0,0.0,15
71025201,0.0,0.0,0.0,0.0,0.0,0.0,0.8093642283844416,0.0,0.0,0.19063577161555836,0.0,15
