COMID,frac_3,frac_8,majority
71030231,1.0,0.0,3
71030243,1.0,0.0,3
71030265,1.0,0.0,3
71030270,1.0,0.0,3
71030287,1.0,0.0,3
71030292,1.0,0.0,3
71030302,1.0,0.0,3
71030308,1.0,0.0,3
71030313,1.0,0.0,3
71030314,1.0,0.0,3
71030390,1.0,0.0,3
71030418,1.0,0.0,3
71030428,1.0,0.0,3
71030431,1.0,0.0,3
71030460,1.0,0.0,3
71030474,1.0,0.0,3
71030527,1.0,0.0,3
71030563,1.0,0.0,3
71030588,1.0,0.0,3
71030626,1.0,0.0,3
71030660,1.0,0.0,3
71030690,1.0,0.0,3
71030703,1.0,0.0,3
71030716,1.0,0.0,3
71030717,1.0,0.0,3
71030749,1.0,0.0,3
71030774,1.0,0.0,3
71030784,1.0,0.0,3
71030831,1.0,0.0,3
71030835,1.0,0.0,3
71030838,1.0,0.0,3
71030896,1.0,0.0,3
71030906,1.0,0.0,3
71030944,1.0,0.0,3
71030950,1.0,0.0,3
71031068,1.0,0.0,3
71031077,1.0,0.0,3
71031094,1.0,0.0,3
71031120,1.0,0.0,3
71031130,1.0,0.0,3
71031155,1.0,0.0,3
71031177,1.0,0.0,3
71031181,1.0,0.0,3
71031215,1.0,0.0,3
71031267,1.0,0.0,3
71031276,1.0,0.0,3
71031279,1.0,0.0,3
71031296,1.0,0.0,3
71031303,1.0,0.0,3
71031359,1.0,0.0,3
71031397,1.0,0.0,3
71031414,1.0,0.0,3
71031429,1.0,0.0,3
71031431,1.0,0.0,3
71031478,1.0,0.0,3
71031489,1.0,0.0,3
71031502,1.0,0.0,3
71031503,1.0,0.0,3
71031506,1.0,0.0,3
71031524,1.0,0.0,3
71031528,1.0,0.0,3
71031529,1.0,0.0,3
71031561,1.0,0.0,3
71031569,1.0,0.0,3
71031594,1.0,0.0,3
71031611,1.0,0.0,3
71031640,1.0,0.0,3
71031642,1.0,0.0,3
71031643,1.0,0.0,3
71031654,1.0,0.0,3
71031687,1.0,0.0,3
71031719,1.0,0.0,3
71031739,1.0,0.0,3
71031769,1.0,0.0,3
71031785,1.0,0.0,3
71031838,1.0,0.0,3
71031849,1.0,0.0,3
71031850,0.0,1.0,8
71031855,1.0,0.0,3
71031856,1.0,0.0,3
71031863,1.0,0.0,3
71031870,1.0,0.0,3
71031893,1.0,0.0,3
71031911,1.0,0.0,3
71031922,1.0,0.0,3
71031931,1.0,0.0,3
71031965,1.0,0.0,3
71031968,1.0,0.0,3
71031975,1.0,0.0,3
71031986,1.0,0.0,3
71032024,1.0,0.0,3
71032048,1.0,0.0,3
71032073,1.0,0.0,3
71032089,1.0,0.0,3
71032090,1.0,0.0,3
71032095,1.0,0.0,3
71032102,1.0,0.0,3
71032106,1.0,0.0,3
71032109,1.0,0.0,3
71032117,1.0,0.0,3
71032185,1.0,0.0,3
71032200,1.0,0.0,3
71032217,1.0,0.0,3
71032233,1.0,0.0,3
71032259,1.0,0.0,3
71032265,1.0,0.0,3
71032269,1.0,0.0,3
71032287,1.0,0.0,3
71032292,1.0,0.0,3
71032377,1.0,0.0,3
71032379,1.0,0.0,3
71032380,1.0,0.0,3
71032409,1.0,0.0,3
71032422,1.0,0.0,3
71032440,1.0,0.0,3
71032455,1.0,0.0,3
71032479,1.0,0.0,3
71032486,1.0,0.0,3
71032492,1.0,0.0,3
71032531,1.0,0.0,3
71032535,1.0,0.0,3
71032574,1.0,0.0,3
71032580,1.0,0.0,3
71032602,1.0,0.0,3
71032618,1.0,0.0,3
71032632,1.0,0.0,3
71032649,1.0,0.0,3
71032673,1.0,0.0,3
71032682,1.0,0.0,3
71032683,1.0,0.0,3
71032795,1.0,0.0,3
71032802,1.0,0.0,3
71032804,1.0,0.0,3
71032823,1.0,0.0,3
71032838,1.0,0.0,3
71032842,1.0,0.0,3
71032859,1.0,0.0,3
