,comb_0001,comb_0002,comb_0003,comb_0004,comb_0005,comb_0006,comb_0007,comb_0008,comb_0009,comb_0010,comb_0011,comb_0012,comb_0013,comb_0014,comb_0015,comb_0016,comb_0017,comb_0018,comb_0019
71022153,0.0062063221861896,0.0,0.0003278570098357,0.0073325402199762,0.0624923988747719,0.0498435254953057,0.0228715656861469,0.4124663593739908,0.0078247372347421,0.3832775174983255,0.0473571764207153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022160,0.0201597854476965,0.0,0.0004010799691168,0.0097482362493858,0.0480525302999551,0.0347411083249346,0.0137181179437049,0.7739650604046904,0.0031151217601356,0.0463118554339871,0.0497871041663929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022164,0.0289562978262622,0.0,0.0,0.0015810439905137,0.0355055627869666,0.0232262828606423,0.0282727138303637,0.7940695242355831,0.0026988589838068,0.0326365158041809,0.0530531996816808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022165,0.100057870700405,0.0,0.0,0.0010189770071328,0.0173092601211648,0.0494640663462484,0.0627673574393715,0.6624009656368068,0.0,0.0112292330786046,0.0957522696702658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022168,0.0324441732653227,0.0,0.0,0.0,0.0184571097198272,0.020857230813432,0.019094897744701,0.8490634291134738,0.0022251310867801,0.0149094975814704,0.0429485306749927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022170,0.0316288392725366,0.0,0.0,0.0,0.0129252497027192,0.0577548546716383,0.0386346681114026,0.7810910160349066,0.0091875857886855,0.0335493412283651,0.0352284451897457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022198,0.0323811829961833,0.0,0.0001499079953528,0.0120259076271968,0.0584788151871567,0.0317790200148503,0.033916255948596,0.5277210906406462,0.0072824057742454,0.0451728985996401,0.2510925152161321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022209,0.1278195835112783,0.0,0.0008598100034392,0.0068006250272025,0.042884517171538,0.0408105851632423,0.0233003110932012,0.7221195728884784,0.0,0.0343888101375552,0.0010161850040647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022220,0.0972857540271424,0.0,0.0,0.0040944029590559,0.121218501787815,0.0412227435877725,0.097134500028655,0.5708439892915602,0.0005871049941289,0.042048092579519,0.0255649107443508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022225,0.2553004093825102,0.0,0.0,0.0077437481935937,0.1071912596797814,0.0308713157717828,0.2125353123133828,0.3540376218509405,0.0,0.0320845778021144,0.0002357550058938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022242,0.0917163583757453,0.0,0.0023353930350308,0.0196781202951718,0.132007600980114,0.0289377314340659,0.0739343471090152,0.6102892251543384,0.0031151600467274,0.0344685805170287,0.0035174830527622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022248,0.0394483731183451,0.0,0.0,0.0016231020048693,0.1108903073326709,0.0165015350495046,0.0206358210619074,0.7859829683579489,0.0,0.0249178930747536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022253,0.12630332924218,0.0,0.0012964259922214,0.0345292127928247,0.1480983041114101,0.0135663069186021,0.0270152168379087,0.5845919214924484,0.0,0.0645992826124042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022302,0.0137576542063648,0.0,0.0,0.0056903140853547,0.034373537515603,0.0053574400803616,0.0036664140549962,0.8780499231707488,0.0,0.0352747665291214,0.0238299503574492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022305,0.0315964476840355,0.0,0.0,0.0162609418373905,0.0425522095744779,0.0195879618041203,0.0043131129568688,0.8480420625195796,0.0,0.0162309738376902,0.0214162897858371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022365,0.0807992868479572,0.0,0.0,0.0042617212557032,0.1044910612694636,0.0408847584530855,0.083610301016618,0.5873114222386854,0.004262767255766,0.0379319212759152,0.0564467603868056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022407,0.00341762307177,0.0,0.0,0.0023357920490516,0.0950487429960236,0.0397260678342474,0.0070775971486295,0.8055304459161394,0.0002437740051192,0.0360970397580378,0.0105229172209812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022409,0.3825323465240296,0.0,0.0001153809965385,0.0122765776317026,0.1924864592254062,0.0981800080545997,0.071327631860171,0.2096583487102495,0.0010225769693226,0.0307756090767317,0.0016250609512481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022426,0.019208198,0.0,0.0,0.002498328,0.08306808,0.062992506,0.022251729,0.606497943,0.001255592,0.179953426,0.022274198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022435,0.0805191141869939,0.0,0.0007216820375274,0.0114964515978154,0.1548198090506301,0.0558692659052018,0.0387011040124574,0.5356544538540317,0.0,0.0335635597453051,0.0886545596100371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022444,0.0027224981497373,0.0,0.0,0.0005557480305661,0.0338913558640245,0.0174435739593965,0.0056895573129256,0.8639135235152438,0.000413547022745,0.0697049168337704,0.0056652793115903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022454,0.0921532584470804,0.0,0.0,0.0070386959577678,0.1236146832583119,0.0786250755282495,0.0931196804412819,0.5108567449348597,0.022819822863081,0.0286215358282707,0.0431505027410969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022635,0.034644360371715,0.0,0.0,0.0,0.024798274834481,0.0314854595201834,0.0245388028466762,0.8225827423386113,0.0,0.0321096204908478,0.0298407395974852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
