COMID,lat,lon,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8,frac_9,frac_10,frac_11,frac_12,frac_13,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71032535,51.69955281,-115.2928965,0.448630124,0,0,0,0,0.007292874,0,0.262718022,0,0.250633448,0,0,0,0.002252369,0.002200865,0.016087884,0.009611752,0.000572686,0
71032574,51.69380094,-115.9944854,0.203404635,0,0,0,0,5.10E-05,0,0.035429835,0,0.084270194,0,0,0,0,0,0.663004041,0,0.00760744,0.006232889
71032580,51.72191285,-115.8092228,0.215443224,0,0,0,0,0,0,0.087218694,0,0.147833392,0,0,0,0,0,0.549236476,0,0.000268192,0
71032602,51.7185497,-115.9019076,0.217982978,0,0,0,0,0,0,0.101265989,0,0.237448975,0,0,0,0,0,0.441953391,0,0.001348696,0
71032618,51.75033746,-115.0135828,0.520846605,0,0,0,0,0.005318439,0,0.278574973,0,0.136463404,0,0,0,0.051946808,0.001747991,0.000232452,0.00486934,0,0
71032632,51.72799695,-115.1236001,0.559433043,0,0,0,0.000243328,0.000800954,0,0.218561992,0,0.171834961,0,0,0,0.038143668,0.003501378,0.000536381,0.003071367,0.003872968,0
71032649,51.72671152,-114.4295099,0.00959245,0,0,0,0,0.000777766,0,0.096227966,0,0.013052966,0,0,0,0.00537955,0.815657616,0,0.054753151,0.004558574,0
71032673,51.72168582,-114.7141022,0.101170488,0,0,0,0.000196995,0.03314298,0,0.292074978,0,0.065601625,0,0,0,0.007422122,0.458933175,0,0.041063655,0.000393991,0
71032682,51.76305572,-115.3156646,0.605473638,0,0,0,0.000228036,0.010551713,0,0.181592613,0,0.119354978,0,0,0,0.004912689,0.000781571,0.061258066,0.013648633,0.002198016,0
71032683,51.7526983,-115.7099863,0.252595276,0,0,0,0,0.002591625,0,0.073471256,0,0.281468093,0,0,0,0,0,0.389873743,0,0,0
71032795,51.76915041,-114.9111639,0.245454371,0,0,0,0.001639047,0.07279589,0,0.536690176,0,0.056504555,0,0,0,0.024158744,0.043643627,0,0.016314309,0.002799241,0
71032802,51.77967406,-115.6912134,0.419290274,0,0,0,0,0.000853935,0,0.072276406,0,0.23844412,0,0,0,0,0,0.266910285,0.001484447,0.000686426,5.40E-05
71032804,51.82430369,-114.257242,0.003787381,0,0,0,0.000919104,0.002984317,0,0.063781321,0,0.019247452,0,0,0,0.011203584,0.843902647,0.001308371,0.046118516,0.006747302,0
71032823,51.77531994,-114.7917087,0.203893214,0,0,0,0,0.021191927,0,0.242738217,0,0.163759276,0,0,0,0.035912666,0.284744978,0.011818074,0.030614071,0.005327578,0
71032838,51.79529331,-115.5288567,0.521342278,0,0,0,0,0.000520338,0,0.053320851,0,0.158127978,0,0,0,0.000198953,0,0.2650114,0.001243564,0.000234657,0
71032842,51.84348694,-114.1708961,0.003801816,0,0,0,0.000299507,0.000637188,0,0.041469939,0,0.04849574,0,0,0,0.00980769,0.790328264,0.000971684,0.094308712,0.0098795,0
71032859,51.79126085,-115.138152,0.346082419,0,0,0,0,0.001878409,0,0.292154759,0,0.26405111,0,0,0,0.058352865,0.001114149,0.019846471,0.016519874,0,0
71032896,51.80677116,-114.95489,0.162023872,0,0,0,0.001476751,0.081086613,0,0.573996544,0,0.071744159,0,0,0,0.032961778,0.03078663,0.000767123,0.04302052,0.002136014,0
71032903,51.85043719,-114.5150736,0.060398184,0,0,0,0.00020602,0.003537855,0,0.137418225,0,0.034874905,0,0,0,0.02602892,0.688264549,0.00216712,0.046212815,0.000891388,0
71032914,51.80621073,-115.061323,0.48779723,0,0,0,0.000142731,0.020236161,0,0.300600171,0,0.098254062,0,0,0,0.03848527,0.00090921,0.012697168,0.040878028,0,0
71032972,51.84883296,-114.9711961,0.179020986,0,0,0,0.003902073,0.08367721,0,0.509925604,0,0.1020841,0,0,0,0.050342683,0.035184179,0.001393242,0.034071859,0.000398085,0
71032973,51.83312097,-115.3693538,0.777459979,0,0,0,0,0.001310236,0,0.068116367,0,0.085074052,0,0,0,0.002622833,0.000881561,0.055474382,0.009029419,3.12E-05,0
71033026,51.87025935,-115.1901046,0.417347968,0,0,0,0.000698272,0.019675503,0,0.347127765,0,0.183970556,0,0,0,0.013722671,0.003665259,0.000720093,0.013071901,0,0
71033035,51.86727228,-114.7099177,0.028057488,0,0,0,0.00143125,0.030399187,0,0.372163922,0,0.045918569,0,0,0,0.027784241,0.449471623,0.000118704,0.040548805,0.004106182,0
71033120,51.89579543,-115.220035,0.758324981,0,0,0,0,0.006075068,0,0.124475107,0,0.088125922,0,0,0,0.009751912,0.003658718,0.000273187,0.009234891,8.02E-05,0
71033126,51.87152275,-114.1126143,0.000180623,0,0,0,0.000126436,0.000400142,0,0.012951331,0,0.007665785,0,0,0,0.001571422,0.890839875,0.000361247,0.072120972,0.013782191,0
71033183,51.90896576,-114.0411108,0.000124952,0,0,0,0,0.001149718,0,0.021198558,0,0.03405191,0,0,0,0.003672634,0.78706336,0.000318455,0.088825241,0.063595183,0
71033247,51.90288391,-114.4001763,0.01341459,0,0,0,0.000731715,0.005193503,0,0.110034108,0,0.017076515,0,0,0,0.007959122,0.787496686,0.001223234,0.0546786,0.002191924,0
71033313,51.96248105,-114.3217196,0.006670238,0,0,0,0.000132907,0.004221585,0,0.104368269,0,0.047485169,0,0,0,0.018218614,0.753774345,0.006278316,0.046598423,0.012252108,0
71033318,51.94075582,-113.9699916,0.000529977,0,0,0,0.000144539,0.004964234,0,0.069367073,0,0.036476456,0,0,0,0.002552558,0.83286339,0.001276762,0.045558639,0.006266385,0
71033334,51.95441591,-114.9109475,0.408256561,0,0,0,0.00057772,0.041004248,0,0.28523761,0,0.069160752,0,0,0,0.101447202,0.027592784,0.000467067,0.027372336,0.038883772,0
71033362,51.97653992,-114.584281,0.118401982,0,0,0,0.008768647,0.037832391,0,0.341908842,0,0.018839242,0,0,0,0.072150052,0.363985151,0.002109298,0.032352205,0.003652216,0
