COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71022153,52.2760630423685,-113.868966202995,0.00620632246136665,0,0.000327857356751338,0.0073325396515429,0.0624923966825008,0.0498435236513615,0.0228715650737286,0.41246634721756,0.00782473664730787,0.383277505636215,0.0473571754992008,0
71022160,52.1532749432004,-113.963718240831,0.0201597865670919,0,0.000401079683797434,0.00974823720753193,0.0480525344610214,0.03474111109972,0.01371811889112,0.773965120315552,0.00311512220650911,0.0463118590414524,0.0497871078550816,0
71022164,52.071024715134,-114.040900337024,0.0289562977850437,0,0,0.00158104370348155,0.0355055630207062,0.0232262834906578,0.0282727144658566,0.794069528579712,0.00269885896705091,0.0326365157961845,0.0530532002449036,0
71022165,52.0627667865707,-114.069721223022,0.100057870149612,0,0,0.00101897702552378,0.0173092596232891,0.0494640655815601,0.06276735663414,0.662400960922241,0,0.0112292328849435,0.0957522690296173,0
71022168,52.054056710348,-114.096758924537,0.0324441716074944,0,0,0,0.0184571091085672,0.0208572298288345,0.0190948974341154,0.849063396453857,0.00222513102926314,0.0149094965308905,0.0429485291242599,0
71022170,52.0511743309951,-114.128797739673,0.0316288396716118,0,0,0,0.0129252495244145,0.0577548556029797,0.0386346690356731,0.781091034412384,0.00918758567422628,0.0335493423044682,0.0352284461259842,0
71022198,52.0324160891425,-114.258253385877,0.032381184399128,0,0.000149908257299103,0.0120259076356888,0.0584788173437119,0.031779021024704,0.0339162573218346,0.527721107006073,0.00728240609169006,0.0451728999614716,0.251092523336411,0
71022209,52.0488923419276,-114.394109883364,0.127819582819939,0,0.000859809573739767,0.00680062500759959,0.0428845174610615,0.0408105850219727,0.0233003105968237,0.722119569778442,0,0.0343888103961945,0.00101618538610637,0
71022220,52.0633082899248,-114.463013334224,0.0972857549786568,0,0,0.00409440277144313,0.121218502521515,0.0412227436900139,0.0971345007419586,0.570843994617462,0.000587105110753328,0.042048092931509,0.0255649108439684,0
71022225,52.0764151098,-114.512911340544,0.255300402641296,0,0,0.00774374790489674,0.107191257178783,0.0308713149279356,0.212535306811333,0.35403761267662,0,0.0320845767855644,0.000235755433095619,0
71022242,52.0864620555616,-114.603889126636,0.091716356575489,0,0.00233539287000895,0.0196781195700169,0.132007598876953,0.0289377309381962,0.0739343464374542,0.610289216041565,0.00311515992507339,0.0344685800373554,0.0035174828954041,0
71022248,52.0764039278132,-114.649867303609,0.0394483730196953,0,0,0.0016231017652899,0.110890306532383,0.016501534730196,0.0206358209252357,0.785982966423035,0,0.0249178931117058,0,0
71022253,52.0623536895674,-114.670761541258,0.12630333006382,0,0.00129642616957426,0.0345292128622532,0.148098304867744,0.0135663067921996,0.0270152166485786,0.584591925144196,0,0.0645992830395699,0,0
71022302,52.03888879514,-114.157642310721,0.0137576535344124,0,0,0.0056903138756752,0.0343735367059708,0.00535744009539485,0.00366641441360116,0.878049910068512,0,0.0352747663855553,0.0238299500197172,0
71022305,52.01553514377,-114.140841320554,0.0315964482724667,0,0,0.0162609424442053,0.0425522103905678,0.0195879619568586,0.00431311270222068,0.848042070865631,0,0.0162309743463993,0.0214162897318602,0
71022365,51.9941919716238,-114.218392486374,0.0807992815971375,0,0,0.00426172092556953,0.104491055011749,0.040884755551815,0.0836102962493896,0.587311387062073,0.00426276726648211,0.0379319190979004,0.0564467571675777,0
71022407,51.9642635658915,-114.122429073763,0.00341762276366353,0,0,0.00233579170890152,0.0950487405061722,0.0397260673344135,0.00707759661599994,0.805530428886414,0.000243774135014974,0.0360970385372639,0.0105229169130325,0
71022409,52.0138651489036,-114.949957467522,0.382532358169556,0,0.000115381037176121,0.0122765777632594,0.192486464977264,0.0981800109148026,0.0713276341557503,0.209658354520798,0.0010225772857666,0.030775610357523,0.00162506115157157,0
71022426,52.0221529524937,-114.001256844753,0.0192081984132528,0,0,0.00249832798726857,0.0830680802464485,0.0629925057291985,0.0222517289221287,0.606497943401337,0.00125559174921364,0.179953426122665,0.0222741980105639,0
71022435,51.9502228631926,-114.166660725089,0.0805191099643707,0,0.000721681688446552,0.0114964507520199,0.154819801449776,0.0558692626655102,0.0387011021375656,0.535654425621033,0,0.0335635580122471,0.0886545553803444,0
71022444,51.9884542047764,-114.060659362297,0.0027224977966398,0,0,0.000555747712496668,0.0338913537561893,0.017443573102355,0.00568955717608333,0.863913476467133,0.000413546978961676,0.0697049126029015,0.00566527945920825,0
71022454,51.9913160954922,-114.39231274369,0.0921532586216927,0,0,0.00703869620338082,0.123614683747292,0.0786250755190849,0.0931196808815002,0.510856747627258,0.0228198226541281,0.0286215357482433,0.0431505031883717,0
71022635,52.0930188826467,-114.122009987516,0.0346443615853786,0,0,0,0.0247982759028673,0.0314854606986046,0.024538803845644,0.82258278131485,0,0.032109621912241,0.0298407413065434,0
